voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7582,95,2025-12-26 11:12:00,5층 여자 화장실 양변기 배수 상태 확인,<p>5층 여자 화장실 양변기 배수 상태 확인<br></p>,5F,화장실(여),<p>5층 여자 화장실 양변기 배수 상태 확인&nbsp; 양호<br></p>,2025-12-26 15:57:04.708204,시설,주민재,5층 여자 화장실 양변기 배수 상태 확인,5층 여자 화장실 양변기 배수 상태 확인 5층 여자 화장실 양변기 배수 상태 확인 5층 여자 화장실 양변기 배수 상태 확인 양호,시설,급배수/위생,청소/정리,청소/정리,11.100000000000001,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7583,95,2025-12-26 11:13:00,4층 여자 화장실 세면대 배수 상태 점검,<p>4층 여자 화장실 세면대 배수 상태 점검<br></p>,4F,화장실(여),<p>4층 여자 화장실 세면대 배수 상태 점검&nbsp; 양호<br></p>,2025-12-26 15:57:22.194610,시설,주민재,4층 여자 화장실 세면대 배수 상태 점검,4층 여자 화장실 세면대 배수 상태 점검 4층 여자 화장실 세면대 배수 상태 점검 4층 여자 화장실 세면대 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,7.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7584,95,2025-12-26 11:13:00,3층 남자 화장실 소변기 배수 상태 점검,<p>3층 남자 화장실 소변기 배수 상태 점검<br></p>,3F,화장실(남),<p>3층 남자 화장실 소변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-26 15:57:38.733750,시설,주민재,3층 남자 화장실 소변기 배수 상태 점검,3층 남자 화장실 소변기 배수 상태 점검 3층 남자 화장실 소변기 배수 상태 점검 3층 남자 화장실 소변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,7.199999999999999,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7585,95,2025-12-26 11:14:00,1층 여자 화장실 세면대 배수 상태 점검,<p>1층 여자 화장실 세면대 배수 상태 점검<br></p>,1F,화장실(여),<p>1층 여자 화장실 세면대 배수 상태 점검&nbsp; 양호<br></p>,2025-12-26 15:58:00.507612,시설,주민재,1층 여자 화장실 세면대 배수 상태 점검,1층 여자 화장실 세면대 배수 상태 점검 1층 여자 화장실 세면대 배수 상태 점검 1층 여자 화장실 세면대 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,7.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7597,95,2025-12-27 09:30:00,방재실 소방수신기 각 소화전중계기 신호상태 점검,<p>방재실 소방수신기 각 소화전중계기 신호상태 점검<br></p>,B1F,방재실,<p>방재실 소방수신기 각 소화전중계기 신호상태 점검 - 양호<br></p>,2025-12-27 16:12:01.669456,시설,오대석,방재실 소방수신기 각 소화전중계기 신호상태 점검,방재실 소방수신기 각 소화전중계기 신호상태 점검 방재실 소방수신기 각 소화전중계기 신호상태 점검 방재실 소방수신기 각 소화전중계기 신호상태 점검 - 양호,시설,소방/방재,점검,상태점검,11.100000000000001,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7601,95,2025-12-27 10:30:00,옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검,<p>옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검<br></p>,9F,EHP 실외기실,<p>옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검 - 양호<br></p>,2025-12-27 16:23:18.497061,시설,김현범,옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검,옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검 옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검 옥상층 ehp 실외기 외관 상태 및 내부 오일 누유 점검 - 양호,시설,냉난방/공조,작업,설정/제어,11.7,11.7,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7598,95,2025-12-27 11:00:00,"1번 비상계단 센서등, 층간표시등 점등상태 점검","<p>1번 비상계단 센서등, 층간표시등 점등상태 점검<br></p>",1F,화장실(남),"<p>1번 비상계단 센서등, 층간표시등 점등상태 점검 - 양호<br></p>",2025-12-27 16:13:08.060637,시설,오대석,"1번 비상계단 센서등, 층간표시등 점등상태 점검","1번 비상계단 센서등, 층간표시등 점등상태 점검 1번 비상계단 센서등, 층간표시등 점등상태 점검 1번 비상계단 센서등, 층간표시등 점등상태 점검 - 양호",시설,정보통신/IT,점검,상태점검,3.5999999999999996,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7599,95,2025-12-27 13:30:00,"각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검","<p>각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검<br></p>",4F,공조실,"<p>각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검 - 양호<br></p>",2025-12-27 16:14:13.843651,시설,오대석,"각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검","각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검 각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검 각 공조실 전기판넬 차단기, 계전기 작동상태 및 열화 점검 - 양호",시설,전기/조명,점검,상태점검,11.7,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7602,95,2025-12-27 13:36:00,한국해양진흥공사 내부 인테리어 작업 공정관리,<p>한국해양진흥공사 내부 인테리어 작업 공정관리<br></p>,7F,사무실A,<p>한국해양진흥공사 내부 인테리어 작업 공정관리 (바닥 카페트 설치 작업)<br></p>,2025-12-27 16:24:32.726566,시설,김현범,한국해양진흥공사 내부 인테리어 작업 공정관리,한국해양진흥공사 내부 인테리어 작업 공정관리 한국해양진흥공사 내부 인테리어 작업 공정관리 한국해양진흥공사 내부 인테리어 작업 공정관리 (바닥 카페트 설치 작업),시설,운영/문서,설치,설치,4.199999999999999,3.5999999999999996,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7600,95,2025-12-27 14:30:00,B3F ~ B6F 지하주차장 램프웨이 벽부등 점등상태 점검,<p>B3F ~ B6F 지하주차장 램프웨이 벽부등 점등상태 점검<br></p>,B3F,주차장,<p>B3F ~ B6F 지하주차장 램프웨이 벽부등 점등상태 점검 - 양호<br></p>,2025-12-27 16:15:28.944607,시설,오대석,B3F B6F 지하주차장 램프웨이 벽부등 점등상태 점검,B3F B6F 지하주차장 램프웨이 벽부등 점등상태 점검 B3F B6F 지하주차장 램프웨이 벽부등 점등상태 점검 B3F B6F 지하주차장 램프웨이 벽부등 점등상태 점검 - 양호,서비스,주차,점검,상태점검,7.5,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
